,User ID,Name,Email Address,Username,Date of Birth,Age (yrs),Gender,Location,Membership Start Date,Membership End Date,Subscription Plan,Membership Duration,Payment Information,Renewal Status,Usage Frequency,Purchase History,Favorite Genres,Devices Used,Engagement Metrics,Feedback/Ratings,Customer Support Interactions,TLD
0,1,Ronald Murphy,williamholland@example.com,williamholland,1953-06-03,70,Male,Rebeccachester,2024-01-15,2025-01-14,Annual,365 days,Mastercard,Manual,Regular,Electronics,Documentary,Smart TV,Medium,3.6,3,Commericial(.com)
1,2,Scott Allen,scott22@example.org,scott22,1978-07-08,45,Male,Mcphersonview,2024-01-07,2025-01-06,Monthly,365 days,Visa,Manual,Regular,Electronics,Horror,Smartphone,Medium,3.8,7,Organization(.org)
2,3,Jonathan Parrish,brooke16@example.org,brooke16,1994-12-06,29,Female,Youngfort,2024-04-13,2025-04-13,Monthly,365 days,Mastercard,Manual,Regular,Books,Comedy,Smart TV,Low,3.3,8,Organization(.org)
3,4,Megan Williams,elizabeth31@example.net,elizabeth31,1964-12-22,59,Female,Feliciashire,2024-01-24,2025-01-23,Monthly,365 days,Amex,Auto-renew,Regular,Electronics,Documentary,Smart TV,High,3.3,7,Network(.net)
4,5,Kathryn Brown,pattersonalexandra@example.org,pattersonalexandra,1961-06-04,62,Male,Port Deborah,2024-02-14,2025-02-13,Annual,365 days,Visa,Auto-renew,Frequent,Clothing,Drama,Smart TV,Low,4.3,1,Organization(.org)
5,6,Sandra Cox,gparks@example.org,gparks,1954-09-19,69,Female,Lake Johnathan,2024-01-15,2025-01-14,Monthly,365 days,Amex,Manual,Occasional,Books,Action,Tablet,Low,3.8,2,Organization(.org)
6,7,Benjamin Marshall,michaellewis@example.net,michaellewis,2003-02-09,21,Male,Carlsonchester,2024-04-08,2025-04-08,Monthly,365 days,Amex,Auto-renew,Frequent,Clothing,Sci-Fi,Tablet,Medium,4.4,10,Network(.net)
7,8,James Smith,adrienne49@example.org,adrienne49,1946-10-04,77,Male,West Matthewborough,2024-02-16,2025-02-15,Monthly,365 days,Visa,Manual,Regular,Electronics,Horror,Smart TV,Medium,3.6,6,Organization(.org)
8,9,Bradley Green,brittany02@example.net,brittany02,1950-12-24,73,Female,Karenshire,2024-04-09,2025-04-09,Annual,365 days,Amex,Manual,Frequent,Electronics,Documentary,Smartphone,Medium,4.0,8,Network(.net)
9,10,Kayla Hernandez,jessica53@example.net,jessica53,1963-06-16,60,Male,West Stephen,2024-03-10,2025-03-10,Monthly,365 days,Visa,Auto-renew,Frequent,Clothing,Drama,Tablet,High,4.9,6,Network(.net)
10,11,Douglas Hampton,tonya16@example.com,tonya16,1997-11-28,26,Female,Cynthiaport,2024-03-24,2025-03-24,Monthly,365 days,Visa,Manual,Regular,Books,Documentary,Smart TV,Low,4.0,1,Commericial(.com)
11,12,Andrew Gomez,brian80@example.org,brian80,1952-09-08,71,Female,Hillberg,2024-03-07,2025-03-07,Annual,365 days,Amex,Manual,Regular,Books,Horror,Smart TV,Low,4.4,6,Organization(.org)
12,13,Kevin Mayo,hochoa@example.net,hochoa,1981-11-18,42,Female,Michaeltown,2024-01-10,2025-01-09,Monthly,365 days,Amex,Auto-renew,Regular,Clothing,Action,Tablet,Medium,4.7,0,Network(.net)
13,14,Gregory Thomas,egriffin@example.com,egriffin,1989-08-17,34,Female,Harrisport,2024-01-07,2025-01-06,Annual,365 days,Amex,Auto-renew,Frequent,Books,Horror,Tablet,Medium,3.8,0,Commericial(.com)
14,15,Melanie Burns,meyerstacy@example.net,meyerstacy,2003-04-07,21,Male,East Janetfurt,2024-02-23,2025-02-22,Annual,365 days,Visa,Manual,Regular,Clothing,Sci-Fi,Smartphone,Medium,4.9,10,Network(.net)
